trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.17840442320778,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,6,-105.9164640297775,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-65.67391091455256,"{0: 18, 1: 8, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-99.8713083320876,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-164.76908067371878,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-159.866921042919,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-20.17354341568237,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-146.5050339445594,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-225.28981935721046,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-81.94018424362822,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,7,5.5832408304461065,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-136.42796163467318,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,29.442611125359964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,7.854942421649166,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,14,-3.8629490049607584,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,16.192727018943188,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-53.860392195547156,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-36.77078447225974,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,12.386472926076932,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,17.531923164380085,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,13.30317100879616,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,4,-5.039066053775634,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,15,-70.73555003976688,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,13,-31.257746112048295,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,8.020076638617288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,3,20.584457607600058,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,-12.74510980909477,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,-8.399296803128928,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,15,-22.24249950023377,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,13,-35.8033924907589,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
