trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9821610323583008}",20,0,-39.80729401472882,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.9646402934831231}",25,0,-80.17535441972433,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9474321065017983}",20,14,-37.994989669876084,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.9305308958112057}",25,0,-133.89836811778906,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.9139311852712282}",25,0,-240.187368747578,"{0: 8, 1: 4, 2: 9, 3: 1, 4: 3}",0
6,False,"{'a': 0.3, 'e': 0.8976275964304349}",20,0,-75.97162012882768,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.8816148467834161}",20,0,-17.346694953204285,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.865887748059205}",30,0,-110.95051237249577,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.850441204540233}",30,0,-125.82783679291786,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.835270211411272}",35,0,-124.01010506763251,"{0: 23, 1: 2, 2: 6, 3: 4, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8203698531378311}",20,0,-111.125817451883,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8057353018734796}",35,0,-165.1267998831435,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.7913618158955839}",20,0,-91.17141608854679,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.7772447380689461}",25,0,-134.8144128392875,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.7633794943368533}",20,0,-51.27028146323096,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.7497615922390413}",20,0,-77.0967344904325,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.7363866194561001}",25,0,-103.33891930728393,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.7232502423798425}",20,0,-59.60110850176363,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.7103482047091773}",25,0,-97.38850003942545,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.697676326071031}",20,0,-107.45805223538858,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.6852305006658703}",30,0,-67.98945694445655,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.6730066959373865}",25,9,-12.451714217313702,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.6610009512659125}",20,8,-29.426784362111714,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.3, 'e': 0.6492093766851474}",20,3,-34.97282354637274,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.3, 'e': 0.6376281516217733}",25,0,-144.65744922206437,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.6262535236575559}",25,0,-197.0835988318806,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
27,False,"{'a': 0.3, 'e': 0.6150818073135287}",30,22,-27.487045005830158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.3, 'e': 0.6041093828558647}",25,0,-122.77253462206335,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
29,False,"{'a': 0.3, 'e': 0.5933326951230521}",20,0,-36.82036929502275,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.5827482523739898}",20,10,-31.147387018982496,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.5723526251566333}",20,0,-29.781074794008177,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.3, 'e': 0.5621424451968224}",30,0,-70.96601464423878,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.3, 'e': 0.5521144043069306}",30,0,-105.06607579744845,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.5422652533139832}",30,0,-94.80216532075757,"{0: 21, 1: 2, 2: 3, 3: 4, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.5325918010068972}",25,17,1.8281957661576422,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.5230909131025009}",20,3,10.000639133787915,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.5137595112299984}",20,8,1.2222063392385616,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.3, 'e': 0.5045945719335512}",20,0,-135.13794180573487,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.3, 'e': 0.49559312569265146}",20,0,-80.67105475827886,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.3, 'e': 0.4867522559599717}",25,0,-18.959505564342358,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.3, 'e': 0.4780690982163776}",20,0,0.0059722289493856495,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.4695408390427993}",30,3,-86.89633270066909,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 2}",1
43,False,"{'a': 0.3, 'e': 0.4611647152086585}",20,0,-85.93573600709648,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.45293801277655776}",25,0,-53.650784414360466,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.44485806622294116}",25,0,-99.55120820399158,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.4369222575744412}",20,3,1.0043847442179694,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.42912801555963254}",25,1,-124.27685930236048,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 3}",1
48,False,"{'a': 0.3, 'e': 0.42147281477591764}",20,3,-38.695668479487225,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.3, 'e': 0.4139541748712741}",30,0,-53.97181794931719,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.40656965974059917}",25,0,-65.6490207448823,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.3993168767363899}",25,0,-18.369368946983926,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.392193475893505}",25,0,-90.1277999312101,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.3, 'e': 0.3851971491677552}",20,15,2.805494878483811,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.3783256296880768}",30,18,2.6642647595574895,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.3715766910220457}",20,14,8.16923364540621,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.36494814645449375}",25,0,-67.3393172041931,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.3584378482789939}",20,6,-42.436586486225174,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.35204368710198464}",20,0,-98.91940326762067,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.3, 'e': 0.3457635911593078}",20,0,15.418351946481785,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
