trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.82427329970443,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.97027078169846,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.80266930051422,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.2263758980216,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.77557760463245,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-253.45793772251744,"{0: 15, 1: 5, 2: 10, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-285.65191127831827,"{0: 18, 1: 2, 2: 9, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-261.2357833557705,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.76349334233154,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.221211338100332,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.10265703028533,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.12528712830085,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-167.0107892066055,"{0: 20, 1: 7, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.36993300197096,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.4226059258948,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.4586066974262,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.06069107885152,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.95579472236864,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.15966680537436,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-145.50195781355066,"{0: 21, 1: 6, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.2870708663546,"{0: 8, 1: 1, 2: 5, 3: 5, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.13431427759626,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.91252653787005,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.67341408442964,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.60411542931894,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.38836391204461,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.25682059259756,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,1,-91.51366873299243,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.69293638945373,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,3,-73.47638125355681,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
